2025-07-13 13:36:52.364 [main] INFO  c.f.backend.BackendApplication - Starting BackendApplication v0.0.1-SNAPSHOT using Java 17.0.12 with PID 11970 (/Users/Frailty/Desktop/code/java/RemotePull/Fall_Detection-main/FallDetection-Backend-master/target/backend-0.0.1-SNAPSHOT.jar started by Frailty in /Users/Frailty/Desktop/code/java/RemotePull/Fall_Detection-main/FallDetection-Backend-master/target)
2025-07-13 13:36:52.365 [main] INFO  c.f.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-13 13:36:52.930 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-07-13 13:36:52.932 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-07-13 13:36:52.952 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2025-07-13 13:36:53.257 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
2025-07-13 13:36:53.265 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
2025-07-13 13:36:53.266 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-13 13:36:53.266 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2025-07-13 13:36:53.299 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-13 13:36:53.299 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 912 ms
2025-07-13 13:36:54.299 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3427b02d
2025-07-13 13:36:54.405 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2025-07-13 13:36:54.422 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
2025-07-13 13:36:54.435 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
2025-07-13 13:36:54.435 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2025-07-13 13:36:54.436 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@69947b7b]]
2025-07-13 13:36:54.436 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2025-07-13 13:36:54.446 [main] INFO  c.f.backend.BackendApplication - Started BackendApplication in 2.315 seconds (process running for 2.546)
2025-07-13 13:37:54.206 [MessageBroker-1] INFO  o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2025-07-13 13:38:29.411 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopping...
2025-07-13 13:38:29.412 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@69947b7b]]
2025-07-13 13:38:29.412 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopped.
